label_name,open_count,closed_count
type: bug,392,897
type: feature,389,297
domain: config,71,79
type: enhancement,66,80
domain: observability,61,88
domain: external docs,46,54
type: tech debt,43,26
domain: codecs,40,41
source: file,37,30
source: kubernetes_logs,35,25
domain: buffers,34,22
domain: performance,31,22
domain: vrl,28,86
domain: tests,26,8
domain: sources,24,55
source: kafka,22,19
domain: metrics,21,23
sink: elasticsearch,18,18
source: http_server,18,13
source: new,18,0
domain: sinks,17,31
domain: ci,17,18
meta: idea,17,1
vrl: stdlib,16,20
domain: unit tests,16,7
sink: aws_s3,15,27
source: host_metrics,15,12
domain: security,15,10
source: datadog_agent,13,22
domain: dev,13,14
meta: good first issue,13,12
sink: kafka,13,11
Epic,13,10
domain: releasing,12,51
domain: cli,12,7
sink: prometheus_remote_write,11,8
platform: kubernetes,11,5
sink: azure_blob,11,3
sink: amqp,11,2
sink: datadog_metrics,10,24
source: internal_metrics,10,17
sink: prometheus_exporter,10,7
meta: confirmed,10,6
sink: new,10,5
source: socket,10,4
sink: loki,9,14
sink: vector,9,11
source: prometheus_scrape,9,11
transform: reduce,9,6
domain: transforms,9,4
vrl: playground,8,20
domain: reload,8,13
source: aws_s3,8,11
sink: datadog_logs,8,10
source: journald,8,10
sink: gcp_cloud_storage,8,8
sink: file,8,7
source: docker_logs,8,6
domain: networking,8,5
type: task,8,5
domain: core,8,4
domain: traces,8,4
provider: gcp,8,4
transform: tag_cardinality_limit,8,2
provider: aws,7,21
source: vector,7,15
source: gcp_pubsub,7,8
source: http_client,7,6
platform: windows,7,4
sink: opentelemetry,7,4
domain: reliability,7,3
domain: enrichment_tables,7,2
transform: throttle,7,1
domain: logs,6,31
sink: clickhouse,6,13
source: opentelemetry,6,11
source: syslog,6,11
sink: http,6,10
transform: remap,6,8
domain: vdev,6,7
sink: datadog_traces,6,5
source: redis,6,4
domain: schemas,6,3
domain: processing,6,0
sink: splunk_hec,5,11
sink: aws_cloudwatch_logs,5,9
transform: log_to_metric,5,8
sink: socket,5,7
domain: api,5,6
domain: topology,5,6
sink: aws_kinesis_firehose,5,6
domain: ARC,5,4
sink: redis,5,2
needs: rfc,5,1
meta: awaiting author,4,10
domain: deps,4,8
sink: aws_kinesis_streams,4,7
vrl: compiler,4,7
source: internal_logs,4,5
domain: enriching,4,4
provider: datadog,4,4
source: statsd,4,4
domain: platforms,4,3
domain: data model,4,2
have: nice,4,2
source: amqp,4,0
domain: delivery,3,14
source: dnstap,3,10
sink: nats,3,9
source: aws_ecs_metrics,3,7
sink: new_relic,3,6
sink: statsd,3,6
source: splunk_hec,3,5
platform: debian,3,4
sink: aws_cloudwatch_metrics,3,4
source: prometheus_remote_write,3,4
transform: sample,3,4
sink: gcp_stackdriver_metrics,3,3
source: fluent,3,3
transform: lua,3,3
website: template,3,3
sink: datadog_events,3,2
sink: gcp_stackdriver_logs,3,2
domain: internal docs,3,1
domain: templating,3,1
sink: gcp_chronicle,3,1
domain: deployment,3,0
platform: arm,3,0
transform: aggregate,3,0
meta: regression,2,64
source: nats,2,8
source: aws_sqs,2,6
platform: docker,2,5
sink: aws_sqs,2,4
sink: honeycomb,2,4
sink: gcp_pubsub,2,3
domain: enterprise,2,2
domain: healthchecks,2,2
needs: approval,2,2
source: logstash,2,2
source: postgresql_metrics,2,2
dependencies,2,1
domain: architecture,2,1
meta: blocked,2,1
platform: rpm,2,1
provider: azure,2,1
sink: influxdb_metrics,2,1
transform: dedupe,2,1
needs: investigation,2,0
platform: arm64,2,0
source: prometheus_pushgateway,2,0
website: search,2,0
vrl: typedef,1,22
provider: new relic,1,5
domain: setup,1,4
source: exec,1,4
provider: splunk,1,3
sink: datadog_archives,1,3
sink: influxdb_logs,1,3
sink: sematext_metrics,1,3
transform: aws_ec2_metadata,1,3
domain: compression,1,2
domain: soak tests,1,2
source: mongodb_metrics,1,2
transform: route,1,2
complexity: simple,1,1
domain: parsing,1,1
enrichment_table: geoip,1,1
have: should,1,1
platform: ubuntu,1,1
sink: humio_metrics,1,1
sink: mqtt,1,1
source: demo_logs,1,1
transform: new,1,1
vrl: diagnostic,1,1
vrl: syntax,1,1
complexity: high,1,0
complexity: moderate,1,0
domain: administration,1,0
domain: durability,1,0
domain: validation,1,0
enrichment_table: csv,1,0
needs: more demand,1,0
needs: outside help,1,0
platform: centos,1,0
platform: freebsd,1,0
platform: helm,1,0
provider: grafana,1,0
provider: honeycomb,1,0
sink: webhdfs,1,0
source: datadog_logs,1,0
source: mqtt,1,0
transform: exclusive_route,1,0
sink: pulsar,0,7
source: aws_kinesis_firehose,0,6
source: stdin,0,5
sink: axiom,0,4
sink: papertrail,0,4
domain: shutdown,0,3
sink: appsignal,0,3
sink: websocket,0,3
domain: auth,0,2
have: must,0,2
needs: more info,0,2
platform: nix,0,2
sink: blackhole,0,2
sink: new_relic_logs,0,2
source: apache_metrics,0,2
source: heroku_logs,0,2
source: nginx_metrics,0,2
transform: filter,0,2
type: announcement,0,2
domain: filtering,0,1
needs: docs,0,1
platform: amazon-linux,0,1
provider: papertrail,0,1
sink: console,0,1
sink: databend,0,1
sink: humio_logs,0,1
sink: sematext_logs,0,1
transform: metric_to_log,0,1
transform: pipelines,0,1
vrl: parser,0,1
vrl: repl,0,1
website: highlights,0,1
