month,created_discussions,closed_discussions,answered_discussions
2020-07,1,0,1
2020-12,1,0,0
2021-01,4,0,4
2021-03,1,0,0
2021-04,2,0,1
2021-05,9,0,8
2021-06,6,0,5
2021-07,9,2,5
2021-08,13,1,11
2021-09,8,0,6
2021-10,5,0,4
2021-11,13,1,8
2021-12,16,0,13
2022-01,17,0,14
2022-02,15,0,15
2022-03,20,0,15
2022-04,20,0,19
2022-05,17,0,14
2022-06,29,0,27
2022-07,20,0,16
2022-08,25,0,18
2022-09,27,0,16
2022-10,15,0,9
2022-11,21,0,15
2022-12,24,0,17
2023-01,24,0,12
2023-02,24,0,16
2023-03,26,1,10
2023-04,18,3,6
2023-05,32,4,11
2023-06,26,6,10
2023-07,31,7,11
2023-08,23,4,9
2023-09,27,4,13
2023-10,21,3,6
2023-11,25,3,5
2023-12,23,5,7
2024-01,15,2,6
2024-02,20,3,4
2024-03,25,1,8
2024-04,17,4,5
2024-05,16,3,7
2024-06,20,3,5
2024-07,30,3,7
2024-08,28,6,5
2024-09,26,7,7
2024-10,30,6,15
2024-11,50,9,25
2024-12,36,6,18
2025-01,52,11,21
2025-02,46,3,16
2025-03,44,5,21
2025-04,42,6,18
2025-05,37,6,22
2025-06,32,2,19
2025-07,22,2,14
2025-08,22,3,13
2025-09,26,4,20
2025-10,27,7,14
2025-11,29,5,16
2025-12,17,1,6
2026-01,16,1,7
2026-02,13,0,3
2026-03,6,0,0
2026-04,3,1,2
