label_name,count
type: bug,1301
type: feature,688
domain: config,150
domain: observability,146
type: enhancement,145
domain: vrl,113
domain: external docs,100
domain: codecs,82
domain: sources,79
type: tech debt,69
source: file,68
meta: regression,65
domain: releasing,63
source: kubernetes_logs,60
domain: buffers,56
domain: performance,53
domain: sinks,47
domain: metrics,44
source: kafka,41
sink: aws_s3,41
domain: logs,37
vrl: stdlib,36
sink: elasticsearch,36
source: datadog_agent,35
domain: ci,35
sink: datadog_metrics,34
domain: tests,34
source: http_server,31
vrl: playground,28
provider: aws,28
source: internal_metrics,27
source: host_metrics,27
domain: dev,27
meta: good first issue,26
sink: kafka,25
domain: security,25
vrl: typedef,23
sink: loki,23
domain: unit tests,23
Epic,23
source: vector,22
source: prometheus_scrape,20
sink: vector,20
domain: reload,20
source: new,19
source: aws_s3,19
sink: prometheus_remote_write,19
sink: clickhouse,19
domain: cli,19
source: journald,18
sink: datadog_logs,18
meta: idea,18
transform: reduce,17
source: syslog,17
source: opentelemetry,17
platform: kubernetes,17
domain: delivery,17
sink: splunk_hec,16
sink: http,16
sink: gcp_cloud_storage,16
meta: confirmed,16
source: gcp_pubsub,15
sink: prometheus_exporter,15
sink: new,15
sink: azure_blob,15
transform: remap,14
source: socket,14
source: docker_logs,14
source: dnstap,14
sink: file,14
sink: aws_cloudwatch_logs,14
meta: awaiting author,14
type: task,13
transform: log_to_metric,13
source: http_client,13
sink: amqp,13
domain: vdev,13
domain: transforms,13
domain: networking,13
sink: socket,12
sink: nats,12
provider: gcp,12
domain: traces,12
domain: deps,12
domain: core,12
vrl: compiler,11
sink: opentelemetry,11
sink: datadog_traces,11
sink: aws_kinesis_streams,11
sink: aws_kinesis_firehose,11
platform: windows,11
domain: topology,11
domain: api,11
transform: tag_cardinality_limit,10
source: redis,10
source: nats,10
source: aws_ecs_metrics,10
domain: reliability,10
source: internal_logs,9
sink: statsd,9
sink: new_relic,9
domain: schemas,9
domain: enrichment_tables,9
domain: ARC,9
transform: throttle,8
source: statsd,8
source: splunk_hec,8
source: aws_sqs,8
sink: redis,8
provider: datadog,8
domain: enriching,8
transform: sample,7
source: prometheus_remote_write,7
sink: pulsar,7
sink: aws_cloudwatch_metrics,7
platform: docker,7
platform: debian,7
domain: platforms,7
website: template,6
transform: lua,6
source: fluent,6
source: aws_kinesis_firehose,6
sink: gcp_stackdriver_metrics,6
sink: aws_sqs,6
provider: new relic,6
have: nice,6
domain: processing,6
domain: data model,6
source: stdin,5
source: exec,5
sink: honeycomb,5
sink: gcp_stackdriver_logs,5
sink: gcp_pubsub,5
sink: datadog_events,5
needs: rfc,5
domain: setup,5
transform: aws_ec2_metadata,4
source: postgresql_metrics,4
source: logstash,4
source: amqp,4
sink: sematext_metrics,4
sink: papertrail,4
sink: influxdb_logs,4
sink: gcp_chronicle,4
sink: datadog_archives,4
sink: axiom,4
provider: splunk,4
provider: azure,4
needs: approval,4
domain: templating,4
domain: internal docs,4
domain: healthchecks,4
domain: enterprise,4
transform: dedupe,3
transform: aggregate,3
source: mongodb_metrics,3
sink: websocket,3
sink: influxdb_metrics,3
sink: appsignal,3
platform: rpm,3
platform: arm,3
meta: blocked,3
domain: soak tests,3
domain: shutdown,3
domain: deployment,3
domain: compression,3
domain: architecture,3
dependencies,3
website: search,2
vrl: syntax,2
vrl: diagnostic,2
type: announcement,2
transform: route,2
transform: new,2
transform: filter,2
source: prometheus_pushgateway,2
source: nginx_metrics,2
source: heroku_logs,2
source: demo_logs,2
source: apache_metrics,2
sink: new_relic_logs,2
sink: mqtt,2
sink: humio_metrics,2
sink: blackhole,2
platform: ubuntu,2
platform: nix,2
platform: arm64,2
needs: more info,2
needs: investigation,2
have: should,2
have: must,2
enrichment_table: geoip,2
domain: parsing,2
domain: auth,2
complexity: simple,2
website: highlights,1
vrl: repl,1
vrl: parser,1
transform: pipelines,1
transform: metric_to_log,1
transform: exclusive_route,1
source: mqtt,1
source: datadog_logs,1
sink: webhdfs,1
sink: sematext_logs,1
sink: humio_logs,1
sink: databend,1
sink: console,1
provider: papertrail,1
provider: grafana,1
platform: helm,1
platform: freebsd,1
platform: centos,1
platform: amazon-linux,1
needs: outside help,1
needs: more demand,1
needs: docs,1
enrichment_table: csv,1
domain: validation,1
domain: log_namespace,1
domain: filtering,1
domain: durability,1
complexity: moderate,1
complexity: high,1
