month,created_issues,closed_issues,Epic,complexity: high,complexity: moderate,complexity: simple,dependencies,domain: ARC,domain: administration,domain: api,domain: architecture,domain: auth,domain: buffers,domain: ci,domain: cli,domain: codecs,domain: compression,domain: config,domain: core,domain: data model,domain: delivery,domain: deployment,domain: deps,domain: dev,domain: durability,domain: enriching,domain: enrichment_tables,domain: enterprise,domain: external docs,domain: filtering,domain: healthchecks,domain: internal docs,domain: log_namespace,domain: logs,domain: memory,domain: metrics,domain: networking,domain: observability,domain: opentelemetry,domain: parsing,domain: performance,domain: platforms,domain: privacy,domain: processing,domain: releasing,domain: reliability,domain: reload,domain: rfc,domain: schemas,domain: security,domain: setup,domain: shutdown,domain: sinks,domain: soak tests,domain: sources,domain: startup,domain: templating,domain: tests,domain: topology,domain: traces,domain: transforms,domain: unit tests,domain: validation,domain: vdev,domain: vrl,domain: website,enrichment_table: csv,enrichment_table: geoip,good first issue,hacktoberfest,have: must,have: nice,have: should,meta: awaiting author,meta: blocked,meta: breaking change,meta: confirmed,meta: feedback,meta: idea,meta: regression,needs: approval,needs: docs,needs: investigation,needs: more demand,needs: more info,needs: outside help,needs: requirements,needs: rfc,needs: tests,platform: amazon-linux,platform: apt,platform: arm,platform: arm64,platform: centos,platform: debian,platform: docker,platform: dpkg,platform: freebsd,platform: helm,platform: heroku,platform: homebrew,platform: kubernetes,platform: macos,platform: nix,platform: nixos,platform: raspbian,platform: rhel,platform: rpm,platform: ubuntu,platform: windows,platform: x86_64,provider: aws,provider: azure,provider: datadog,provider: elastic,provider: gcp,provider: grafana,provider: heroku,provider: honeycomb,provider: humio,provider: influxdata,provider: new relic,provider: papertrail,provider: sematext,provider: splunk,sink: amqp,sink: appsignal,sink: aws_cloudwatch_logs,sink: aws_cloudwatch_metrics,sink: aws_kinesis_firehose,sink: aws_kinesis_streams,sink: aws_s3,sink: aws_sqs,sink: axiom,sink: azure_blob,sink: azure_monitor_logs,sink: blackhole,sink: clickhouse,sink: console,sink: databend,sink: datadog_archives,sink: datadog_events,sink: datadog_logs,sink: datadog_metrics,sink: datadog_traces,sink: elasticsearch,sink: file,sink: gcp_chronicle,sink: gcp_cloud_storage,sink: gcp_pubsub,sink: gcp_stackdriver_logs,sink: gcp_stackdriver_metrics,sink: honeycomb,sink: http,sink: humio_logs,sink: humio_metrics,sink: influxdb_logs,sink: influxdb_metrics,sink: kafka,sink: loki,sink: mqtt,sink: nats,sink: new,sink: new_relic,sink: new_relic_logs,sink: opentelemetry,sink: papertrail,sink: postgres,sink: prometheus_exporter,sink: prometheus_remote_write,sink: pulsar,sink: redis,sink: sematext_logs,sink: sematext_metrics,sink: socket,sink: splunk_hec,sink: statsd,sink: vector,sink: webhdfs,sink: websocket,source: amqp,source: apache_metrics,source: aws_ecs_metrics,source: aws_kinesis_firehose,source: aws_s3,source: aws_sqs,source: datadog_agent,source: datadog_logs,source: demo_logs,source: dnstap,source: docker_logs,source: exec,source: file,source: fluent,source: gcp_pubsub,source: heroku_logs,source: host_metrics,source: http_client,source: http_server,source: internal_logs,source: internal_metrics,source: journald,source: kafka,source: kubernetes_logs,source: logstash,source: mongodb_metrics,source: mqtt,source: nats,source: new,source: nginx_metrics,source: opentelemetry,source: postgresql_metrics,source: prometheus_pushgateway,source: prometheus_remote_write,source: prometheus_scrape,source: pulsar,source: redis,source: socket,source: splunk_hec,source: statsd,source: stdin,source: syslog,source: vector,source: websocket,source: windows_event_log,transform: aggregate,transform: aws_ec2_metadata,transform: dedupe,transform: exclusive_route,transform: filter,transform: log_to_metric,transform: lua,transform: metric_to_log,transform: new,transform: pipelines,transform: reduce,transform: remap,transform: route,transform: sample,transform: tag_cardinality_limit,transform: throttle,type: announcement,type: bug,type: enhancement,type: feature,type: help,type: task,type: tech debt,vrl: compiler,vrl: diagnostic,vrl: parser,vrl: playground,vrl: repl,vrl: stdlib,vrl: syntax,vrl: typedef,website: blog,website: css,website: highlights,website: javascript,website: search,website: template,website:aesthetics-only,Bug,Feature,Task
2018-09,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-10,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-11,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2018-12,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01,13,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03,124,43,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,4,15,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,9,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-04,125,46,1,0,0,0,0,0,1,0,0,0,2,0,7,1,1,2,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,1,3,12,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,0,1,3,0,2,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,44,6,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
2019-05,228,118,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,5,0,14,0,0,0,0,0,1,0,0,1,1,0,0,0,5,0,10,0,10,0,2,1,0,0,2,0,1,0,0,0,0,2,0,1,0,2,0,0,3,4,0,1,0,0,0,1,0,0,0,5,0,1,2,5,0,0,0,0,0,4,0,7,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,12,16,0,0,0,0,0,0,3,0,0,0,0,0,0,20,0,0,0,0,0,0,0,14,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,5,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,55,15,0,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-06,138,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,5,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,4,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,17,0,0,1,5,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,7,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,2,0,0,0,8,50,3,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
