label_name,open_count,closed_count
type: bug,414,908
type: feature,396,305
domain: config,74,77
type: enhancement,62,79
domain: observability,57,83
domain: external docs,44,55
type: tech debt,39,26
domain: codecs,38,40
source: file,37,30
domain: buffers,36,22
source: kubernetes_logs,35,26
domain: performance,31,20
domain: vrl,25,81
domain: tests,23,8
sink: elasticsearch,22,16
source: kafka,22,16
source: new,22,1
domain: sources,20,53
domain: metrics,19,25
sink: aws_s3,17,24
domain: ci,17,18
source: http_server,17,14
domain: security,17,10
vrl: stdlib,15,19
source: host_metrics,15,12
domain: unit tests,15,7
domain: sinks,14,29
platform: kubernetes,14,4
domain: releasing,13,53
source: datadog_agent,13,22
domain: dev,13,13
sink: kafka,13,11
Epic,13,9
meta: idea,13,1
meta: good first issue,12,15
domain: cli,12,7
sink: azure_blob,12,3
source: journald,11,9
sink: prometheus_remote_write,11,8
sink: new,11,5
source: socket,11,4
sink: datadog_metrics,10,24
sink: loki,10,12
sink: vector,10,11
meta: confirmed,10,6
sink: amqp,10,4
source: internal_metrics,9,17
source: aws_s3,9,11
vrl: playground,8,20
domain: reload,8,13
sink: datadog_logs,8,10
source: prometheus_scrape,8,9
sink: gcp_cloud_storage,8,8
sink: prometheus_exporter,8,6
provider: gcp,8,4
transform: tag_cardinality_limit,8,2
source: vector,7,15
source: syslog,7,10
transform: log_to_metric,7,8
transform: reduce,7,8
source: http_client,7,7
sink: datadog_traces,7,6
sink: file,7,6
source: docker_logs,7,6
domain: networking,7,5
sink: opentelemetry,7,5
domain: traces,7,4
platform: windows,7,4
domain: reliability,7,3
domain: transforms,7,3
sink: redis,7,3
domain: enrichment_tables,7,2
provider: aws,6,20
source: opentelemetry,6,13
sink: splunk_hec,6,12
source: gcp_pubsub,6,9
domain: vdev,6,7
type: task,6,5
domain: api,6,4
domain: core,6,4
source: redis,6,4
domain: schemas,6,3
domain: processing,6,0
domain: logs,5,32
sink: clickhouse,5,14
sink: http,5,11
transform: remap,5,11
sink: aws_cloudwatch_logs,5,8
sink: aws_kinesis_streams,5,7
sink: socket,5,7
sink: aws_kinesis_firehose,5,6
domain: ARC,5,4
source: statsd,5,4
transform: throttle,5,1
meta: awaiting author,4,10
domain: deps,4,8
vrl: compiler,4,7
domain: topology,4,5
source: internal_logs,4,5
provider: datadog,4,4
domain: platforms,4,3
domain: internal docs,4,1
domain: templating,4,1
have: nice,4,1
needs: rfc,4,1
source: amqp,4,0
domain: delivery,3,14
source: dnstap,3,11
source: aws_ecs_metrics,3,7
sink: new_relic,3,6
sink: statsd,3,6
source: splunk_hec,3,5
domain: enriching,3,4
sink: aws_cloudwatch_metrics,3,4
sink: aws_sqs,3,4
source: aws_sqs,3,4
source: prometheus_remote_write,3,4
platform: debian,3,3
sink: gcp_stackdriver_metrics,3,3
website: template,3,3
domain: data model,3,2
provider: azure,3,2
sink: datadog_events,3,2
sink: gcp_stackdriver_logs,3,2
sink: gcp_chronicle,3,1
transform: aggregate,3,1
transform: dedupe,3,1
domain: deployment,3,0
meta: regression,2,61
sink: nats,2,10
source: fluent,2,4
transform: sample,2,4
sink: gcp_pubsub,2,3
transform: lua,2,3
domain: enterprise,2,2
domain: healthchecks,2,2
needs: approval,2,2
source: logstash,2,2
source: postgresql_metrics,2,2
dependencies,2,1
domain: architecture,2,1
meta: blocked,2,1
platform: rpm,2,1
sink: influxdb_metrics,2,1
transform: new,2,1
domain: memory,2,0
domain: validation,2,0
needs: investigation,2,0
platform: arm,2,0
platform: arm64,2,0
sink: postgres,2,0
source: mqtt,2,0
source: prometheus_pushgateway,2,0
website: search,2,0
vrl: typedef,1,22
source: nats,1,8
provider: new relic,1,5
domain: setup,1,4
platform: docker,1,4
sink: honeycomb,1,4
provider: splunk,1,3
sink: datadog_archives,1,3
sink: influxdb_logs,1,3
sink: sematext_metrics,1,3
source: exec,1,3
domain: compression,1,2
domain: soak tests,1,2
source: mongodb_metrics,1,2
transform: aws_ec2_metadata,1,2
vrl: diagnostic,1,2
complexity: simple,1,1
domain: log_namespace,1,1
domain: parsing,1,1
enrichment_table: geoip,1,1
platform: ubuntu,1,1
sink: humio_metrics,1,1
sink: mqtt,1,1
source: demo_logs,1,1
vrl: syntax,1,1
complexity: high,1,0
complexity: moderate,1,0
domain: durability,1,0
enrichment_table: csv,1,0
have: should,1,0
needs: more demand,1,0
needs: outside help,1,0
platform: centos,1,0
platform: freebsd,1,0
platform: helm,1,0
provider: grafana,1,0
sink: webhdfs,1,0
source: datadog_logs,1,0
transform: exclusive_route,1,0
sink: pulsar,0,7
source: aws_kinesis_firehose,0,6
source: stdin,0,5
sink: axiom,0,4
sink: papertrail,0,4
domain: shutdown,0,3
sink: appsignal,0,3
sink: websocket,0,3
domain: auth,0,2
have: must,0,2
needs: more info,0,2
platform: nix,0,2
sink: new_relic_logs,0,2
source: apache_metrics,0,2
source: heroku_logs,0,2
source: nginx_metrics,0,2
transform: filter,0,2
transform: route,0,2
type: announcement,0,2
domain: filtering,0,1
needs: docs,0,1
platform: amazon-linux,0,1
provider: papertrail,0,1
sink: blackhole,0,1
sink: console,0,1
sink: databend,0,1
sink: humio_logs,0,1
sink: sematext_logs,0,1
transform: metric_to_log,0,1
vrl: parser,0,1
vrl: repl,0,1
website: highlights,0,1
