label_name,open_count,closed_count
no-changelog,63,2634
domain: external docs,58,1497
domain: sinks,58,1227
domain: sources,57,1063
meta: awaiting author,56,53
domain: deps,40,3770
domain: ci,33,839
domain: core,18,1337
domain: transforms,14,457
domain: vdev,6,446
source: kafka,6,28
domain: topology,5,293
domain: releasing,5,251
source: file,4,47
editorial review,4,17
sink: new,4,7
source: prometheus_scrape,4,6
sink: opentelemetry,4,2
source: http_server,3,28
source: host_metrics,3,19
source: aws_s3,3,12
source: new,3,4
transform: aggregate,3,0
type: tech debt,2,443
domain: rfc,2,44
sink: loki,2,24
sink: aws_cloudwatch_logs,2,20
sink: aws_s3,2,20
source: kubernetes_logs,2,17
sink: clickhouse,2,9
source: statsd,2,9
do not merge,2,7
transform: reduce,2,5
sink: redis,2,2
domain: opentelemetry,2,0
transform: new,2,0
under_review,2,0
work in progress,2,0
type: bug,1,246
domain: codecs,1,123
dependencies,1,115
domain: config,1,113
domain: metrics,1,81
domain: performance,1,72
javascript,1,51
domain: buffers,1,38
source: internal_metrics,1,31
domain: api,1,29
sink: kafka,1,25
sink: http,1,24
source: splunk_hec,1,20
platform: kubernetes,1,19
sink: vector,1,19
sink: pulsar,1,17
sink: splunk_hec,1,17
sink: aws_kinesis_streams,1,14
source: opentelemetry,1,14
source: syslog,1,14
sink: aws_cloudwatch_metrics,1,13
source: gcp_pubsub,1,11
sink: gcp_stackdriver_logs,1,9
sink: aws_sqs,1,7
source: nats,1,6
source: postgresql_metrics,1,6
sink: honeycomb,1,5
sink: new_relic,1,5
source: http_client,1,5
domain: enrichment_tables,1,4
source: aws_kinesis_firehose,1,4
source: dnstap,1,4
domain: traces,1,3
source: mqtt,1,3
source: redis,1,3
complexity: simple,1,2
sink: websocket,1,2
sink: axiom,1,1
sink: greptimedb,1,1
sink: postgres,1,1
transform: throttle,1,1
domain: vrl,0,623
type: enhancement,0,362
domain: observability,0,206
domain: tests,0,176
type: feature,0,81
domain: dev,0,62
type: task,0,62
domain: data model,0,51
domain: networking,0,41
sink: elasticsearch,0,40
transform: remap,0,36
source: journald,0,34
domain: security,0,33
domain: cli,0,32
provider: aws,0,32
domain: internal docs,0,24
meta: breaking change,0,24
meta: regression,0,23
sink: datadog_logs,0,23
sink: datadog_metrics,0,23
source: datadog_agent,0,22
meta: blocked,0,21
source: socket,0,21
needs: docs,0,20
provider: gcp,0,19
platform: docker,0,18
platform: windows,0,17
sink: influxdb_metrics,0,16
source: vector,0,15
domain: schemas,0,14
sink: statsd,0,14
domain: administration,0,13
domain: logs,0,13
domain: unit tests,0,13
provider: datadog,0,13
sink: datadog_traces,0,13
sink: socket,0,13
platform: debian,0,12
platform: helm,0,12
platform: rpm,0,12
sink: gcp_cloud_storage,0,12
sink: prometheus_remote_write,0,12
domain: startup,0,11
sink: aws_kinesis_firehose,0,11
sink: file,0,11
domain: reload,0,10
sink: gcp_pubsub,0,10
sink: influxdb_logs,0,10
sink: papertrail,0,10
sink: prometheus_exporter,0,10
source: docker_logs,0,10
source: logstash,0,10
transform: log_to_metric,0,10
source: heroku_logs,0,9
sink: humio_logs,0,8
transform: filter,0,8
transform: lua,0,8
transform: route,0,8
domain: architecture,0,7
domain: parsing,0,7
sink: azure_blob,0,7
sink: datadog_events,0,7
source: fluent,0,7
transform: aws_ec2_metadata,0,7
transform: sample,0,7
vrl: playground,0,7
needs: approval,0,6
source: aws_sqs,0,6
source: internal_logs,0,6
source: mongodb_metrics,0,6
vrl: stdlib,0,6
