label_name,count
vrl: stdlib,184
type: bug,118
type: feature,101
type: enhancement,80
vrl: compiler,55
vrl: typedef,19
vrl: parser,15
vrl: diagnostic,12
type: tech debt,12
good first issue,11
fuzz,10
vrl: syntax,9
stdlib: parse_cef,6
domain: dev,4
stdlib: parse_key_value,3
meta:confirmed,3
Epic,3
domain: tests,2
domain: ci,2
vrl: expression checker,1
stdlib: unnest,1
stdlib: parse_timestamp,1
stdlib: parse_klog,1
stdlib: parse_duration,1
stdlib: parse_aws_vpc_flow_log,1
stdlib: parse,1
stdlib: encode_proto,1
new function,1
needs: more info,1
meta: regression,1
meta: awaiting author,1
domain: performance,1
domain: core,1
crash,1
