label_name,open_count,closed_count
vrl: stdlib,121,63
type: bug,82,36
type: enhancement,67,13
type: feature,64,37
vrl: compiler,46,9
vrl: typedef,16,3
vrl: parser,15,0
vrl: diagnostic,11,1
type: tech debt,9,3
vrl: syntax,9,0
good first issue,7,4
stdlib: parse_cef,6,0
fuzz,5,5
Epic,3,0
stdlib: parse_key_value,3,0
domain: dev,2,2
domain: tests,2,0
meta:confirmed,1,2
domain: ci,1,1
crash,1,0
domain: core,1,0
domain: performance,1,0
meta: regression,1,0
needs: more info,1,0
new function,1,0
stdlib: encode_proto,1,0
stdlib: parse_aws_vpc_flow_log,1,0
stdlib: parse_klog,1,0
stdlib: parse_timestamp,1,0
stdlib: unnest,1,0
meta: awaiting author,0,1
stdlib: parse,0,1
stdlib: parse_duration,0,1
vrl: expression checker,0,1
